date,state,checkins,unique_ind,unique_loc,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80
2020-12-03,W.P. Putrajaya,173618.0,101719.0,2418.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,Johor,2031469.0,883179.0,80241.0,69.0,0.0,27.0,567.0,53.0,69.0,0.0,0.0,0.0,8.0,3.0,45.0,13.0,3.0,5.0,3.0,14.0,16.0,5.0,10.0,12.0,1.0,0.0
2020-12-04,Kedah,674162.0,343898.0,25462.0,24.0,0.0,23.0,271.0,21.0,24.0,0.0,0.0,0.0,0.0,1.0,21.0,1.0,0.0,0.0,1.0,12.0,5.0,1.0,3.0,1.0,0.0,0.0
2020-12-04,Kelantan,164019.0,98726.0,9428.0,20.0,0.0,2.0,104.0,20.0,20.0,0.0,0.0,0.0,1.0,12.0,7.0,0.0,0.0,1.0,12.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
2020-12-04,Melaka,582972.0,256683.0,21979.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,Negeri Sembilan,594932.0,284372.0,23308.0,15.0,0.0,268.0,920.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,8.0,5.0,1.0,0.0,1.0,0.0,0.0
2020-12-04,Pahang,677057.0,296630.0,26916.0,15.0,0.0,0.0,27.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2020-12-04,Perak,1059563.0,483833.0,49578.0,47.0,0.0,83.0,499.0,40.0,47.0,0.0,0.0,0.0,5.0,3.0,33.0,6.0,3.0,2.0,3.0,20.0,5.0,8.0,0.0,3.0,1.0,2.0
2020-12-04,Perlis,169860.0,105729.0,8017.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,Pulau Pinang,1236718.0,550869.0,45157.0,48.0,0.0,71.0,320.0,26.0,48.0,0.0,0.0,0.0,2.0,1.0,40.0,5.0,1.0,1.0,1.0,24.0,12.0,3.0,1.0,4.0,1.0,0.0
2020-12-04,Sabah,769607.0,317892.0,32980.0,320.0,0.0,405.0,2628.0,70.0,320.0,0.0,0.0,0.0,59.0,28.0,198.0,33.0,22.0,37.0,28.0,83.0,50.0,40.0,25.0,20.0,9.0,4.0
2020-12-04,Sarawak,1350621.0,509621.0,38195.0,1.0,1.0,1.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,Selangor,4187530.0,1983724.0,130590.0,320.0,1.0,206.0,3580.0,166.0,320.0,0.0,0.0,0.0,15.0,8.0,283.0,10.0,5.0,10.0,8.0,150.0,76.0,38.0,19.0,7.0,3.0,0.0
2020-12-04,Terengganu,189604.0,109294.0,7526.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,W.P. Kuala Lumpur,,,,256.0,1.0,39.0,1549.0,244.0,256.0,0.0,0.0,0.0,1.0,0.0,95.0,1.0,1.0,0.0,0.0,30.0,41.0,20.0,4.0,1.0,0.0,0.0
2020-12-04,W.P. KualaLumpur,3718459.0,1627479.0,91031.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-04,W.P. Labuan,52603.0,22944.0,1774.0,3.0,0.0,14.0,294.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-12-04,W.P. Putrajaya,200829.0,113996.0,2423.0,2.0,0.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-12-05,Johor,2210008.0,905459.0,76118.0,66.0,0.0,20.0,612.0,52.0,66.0,0.0,0.0,0.0,2.0,3.0,48.0,13.0,0.0,2.0,3.0,20.0,6.0,6.0,16.0,9.0,2.0,2.0
2020-12-05,Kedah,731091.0,363471.0,31046.0,30.0,0.0,27.0,274.0,27.0,30.0,0.0,0.0,0.0,3.0,3.0,23.0,0.0,1.0,2.0,3.0,10.0,5.0,4.0,4.0,0.0,0.0,0.0
2020-12-05,Kelantan,207482.0,116080.0,15558.0,35.0,0.0,12.0,127.0,35.0,35.0,0.0,0.0,0.0,0.0,14.0,21.0,0.0,0.0,0.0,14.0,15.0,2.0,3.0,1.0,0.0,0.0,0.0
2020-12-05,Melaka,634724.0,267041.0,19794.0,5.0,0.0,1.0,13.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-12-05,Negeri Sembilan,627448.0,285249.0,21028.0,10.0,0.0,175.0,755.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0
2020-12-05,Pahang,682223.0,290579.0,24066.0,2.0,0.0,3.0,26.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2020-12-05,Perak,1138102.0,496653.0,46280.0,39.0,0.0,66.0,472.0,29.0,39.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,0.0,0.0,0.0,17.0,8.0,3.0,4.0,6.0,1.0,0.0
2020-12-05,Perlis,164804.0,99061.0,7127.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-05,Pulau Pinang,1351212.0,555440.0,40164.0,44.0,0.0,64.0,300.0,33.0,44.0,0.0,0.0,0.0,1.0,4.0,37.0,2.0,0.0,1.0,4.0,22.0,7.0,5.0,3.0,2.0,0.0,0.0
2020-12-05,Sabah,777053.0,307847.0,29022.0,391.0,0.0,264.0,2753.0,115.0,391.0,0.0,0.0,0.0,50.0,35.0,270.0,33.0,19.0,31.0,35.0,85.0,89.0,47.0,49.0,25.0,6.0,2.0
2020-12-05,Sarawak,1437010.0,504648.0,32914.0,1.0,0.0,1.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-05,Selangor,4595822.0,2048138.0,112326.0,222.0,5.0,198.0,3603.0,106.0,222.0,0.0,0.0,0.0,9.0,6.0,196.0,11.0,5.0,4.0,6.0,86.0,83.0,15.0,12.0,8.0,3.0,0.0
2020-12-05,Terengganu,240941.0,127297.0,12566.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-05,W.P. Kuala Lumpur,,,,264.0,0.0,285.0,1528.0,227.0,264.0,0.0,0.0,0.0,2.0,7.0,253.0,2.0,1.0,1.0,7.0,100.0,114.0,34.0,5.0,1.0,1.0,0.0
2020-12-05,W.P. KualaLumpur,3874221.0,1619744.0,75347.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-05,W.P. Labuan,53935.0,22791.0,1502.0,10.0,0.0,25.0,279.0,3.0,10.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0
2020-12-05,W.P. Putrajaya,212102.0,117401.0,1757.0,4.0,0.0,2.0,10.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2020-12-06,Johor,2212105.0,900358.0,63536.0,125.0,0.0,20.0,716.0,102.0,125.0,0.0,0.0,0.0,15.0,8.0,80.0,22.0,3.0,12.0,8.0,26.0,19.0,20.0,15.0,14.0,8.0,0.0
